,mon,藍莓,百香果,枇杷,黃金果,芒果,木瓜,荔枝,龍眼,釋迦,奇異果,鳳梨,蜜棗,葡萄,桃子,香蕉,柿子,酪梨,西瓜,草莓,桑椹,蓮霧,梅子,柑橘,金棗,文旦柚,梨子,番茄,香瓜,芭樂,紅龍果,李子
0,1,160.566,34.129,74.971,116.90100000000001,40.786,33.118,50.30275,142.694,65.596,60.163000000000004,25.53,34.495916666666666,88.243,120.406,48.058,69.673,149.965,14.319,313.207,12.198,66.941,13.701583333333334,29.141,52.11600000000001,12.984000000000002,63.937,25.39,94.053,41.708,82.13,45.0
1,2,156.403,49.117,94.61399999999999,109.27,44.236000000000004,27.695,50.30275,129.17600000000002,89.825,59.865,24.275,34.495916666666666,67.906,148.048,49.641999999999996,43.806999999999995,197.601,21.717,322.796,12.198,78.377,13.701583333333334,37.828,51.928999999999995,29.467,68.959,22.166,112.666,38.493,89.70700000000001,67.88600000000001
2,3,229.787,78.484,272.35,127.249,70.915,33.01,130.0,110.34700000000001,103.406,58.556000000000004,23.895,63.018,78.11399999999999,58.67100000000001,48.318000000000005,42.206,170.343,19.625,297.6,30.331999999999997,69.998,57.132,40.1,63.451,6.7139999999999995,73.34100000000001,27.26,53.577,33.359,107.072,60.25
3,4,335.066,123.94200000000001,337.10699999999997,151.44899999999998,66.64399999999999,37.832,107.35700000000001,125.029,130.437,63.835,24.078000000000003,34.495916666666666,80.303,75.475,44.803999999999995,72.693,210.537,18.936,251.933,33.493,67.399,55.809,37.086,67.393,23.846416666666666,93.829,28.531,83.50299999999999,23.820999999999998,152.453,49.5
4,5,256.103,113.051,460.163,181.17700000000002,55.218999999999994,29.419,126.00399999999999,231.268,152.111,73.536,24.846999999999998,34.495916666666666,100.31200000000001,140.813,38.594,177.767,162.961,15.556,208.74900000000002,32.865,79.517,51.478,30.671,75.0,13.4,56.163000000000004,33.747,92.508,29.622,96.406,37.327
5,6,307.26,63.035,566.8,93.95100000000001,42.497,26.066999999999997,88.20700000000001,99.34299999999999,154.033,71.277,24.351999999999997,217.7,171.49900000000002,92.947,29.711,71.26691666666666,90.545,14.914000000000001,236.49200000000002,49.68600000000001,60.253,13.701583333333334,31.493000000000002,52.62566666666667,90.85,50.031000000000006,40.205,108.934,30.965999999999998,53.035,57.51
6,7,233.433,58.465,160.781,58.071000000000005,40.429,32.38,94.366,73.992,103.59200000000001,72.78,23.855,86.93299999999999,214.399,119.12100000000001,26.147,43.482,58.496,22.575,234.269,12.198,66.671,13.701583333333334,33.828,52.62566666666667,35.466,37.919000000000004,60.455,87.28200000000001,26.223000000000003,37.542,74.803
7,8,204.653,62.974,160.781,56.571999999999996,45.792,36.638000000000005,57.699,74.899,66.89699999999999,72.255,31.584,46.3,199.85299999999998,118.916,30.307,60.907,73.801,14.022,240.24099999999999,12.198,119.795,13.701583333333334,28.034000000000002,150.0,23.628,44.18600000000001,55.268,52.526,29.456999999999997,43.195,76.842
8,9,234.426,53.321999999999996,160.781,90.079,80.816,35.513000000000005,50.30275,84.334,76.84100000000001,72.943,25.145,34.495916666666666,135.59,142.524,34.219,78.253,90.08200000000001,16.474,238.169,12.198,151.476,13.701583333333334,26.919,52.62566666666667,25.842,47.226000000000006,53.678999999999995,61.54600000000001,36.176,42.123000000000005,93.10600000000001
9,10,264.837,52.56,160.781,97.869,92.516,43.458999999999996,50.30275,112.698,84.74600000000001,67.5,23.48,34.495916666666666,98.715,234.486,39.126,89.464,93.56700000000001,16.991,228.00599999999997,12.198,129.343,13.701583333333334,29.476999999999997,48.75,19.729,50.138999999999996,69.741,83.881,43.4,45.422,74.21600000000001
10,11,248.864,47.878,160.781,111.104,61.468999999999994,47.09,50.30275,128.111,82.53200000000001,63.81,24.246,34.495916666666666,81.668,104.28391666666667,46.648,84.48899999999999,89.508,15.194,218.97299999999998,12.198,90.96,13.701583333333334,30.368000000000002,55.705,15.173,54.488,66.666,98.439,46.535,60.613,74.03399999999999
11,12,232.762,37.289,123.367,118.885,51.393,38.715,50.30275,149.753,73.283,58.21,25.39,34.495916666666666,118.025,104.28391666666667,50.222,92.462,109.647,13.394,304.253,12.198,73.37899999999999,13.701583333333334,25.291,67.164,12.904000000000002,53.05,42.983999999999995,93.509,49.638999999999996,68.479,61.9
